step,oneTeamA,oneTeamB,twoTeamA,twoTeamB,threeTeamA,threeTeamB
0,50000,50000,50000,50000,50000,50000
50,45943,44005,44174,44376,46072,44526
100,37552,44176,41283,42477,42489,41280
150,31906,39963,34437,41616,40469,38974
200,41016,37650,40813,41407,41706,36643
250,45476,39655,42734,46935,40561,34119
300,38671,42395,41171,44727,40126,37131
350,41865,45919,37598,53897,44326,32124
400,35585,44137,40187,47312,49016,35481
450,35114,45601,43520,49060,50500,41778
500,34856,53528,40871,47506,49281,40244
550,35130,57823,44600,51645,46398,38302
600,35415,64260,43034,45887,46249,41125
650,33479,69918,38425,44974,53957,40462
700,30953,69553,37074,49414,54143,41396
750,29334,69703,31721,59634,53184,45147
800,28886,80149,29248,58269,55745,49772
850,28430,80313,32098,61807,53765,52356
900,27371,81495,34307,63976,56277,56652
950,28533,86474,35774,64371,52891,57706
1000,28090,94176,33106,69783,52646,58801
