step,oneTeamA,oneTeamB,twoTeamA,twoTeamB,
0,50000,50000,50000,50000,
50,45943,44005,44174,44376,
100,37552,44176,41283,42477,
150,31906,39963,34437,41616,
200,41016,37650,40813,41407,
250,45476,39655,42734,46935,
300,38671,42395,41171,44727,
350,41865,45919,37598,53897,
400,35585,44137,40187,47312,
450,35114,45601,43520,49060,
500,34856,53528,40871,47506,
550,35130,57823,44600,51645,
600,35415,64260,43034,45887,
650,33479,69918,38425,44974,
700,30953,69553,37074,49414,
750,29334,69703,31721,59634,
800,28886,80149,29248,58269,
850,28430,80313,32098,61807,
900,27371,81495,34307,63976,
950,28533,86474,35774,64371,
1000,28090,94176,33106,69783,
